bn,rm
লাস্ট এর টা ভাই হুদাই লিখছেন….. এইটা ফাস্ট চার্জ আপনাকে কে বলল?,Last er ta vai hudai likhcen….. Eita fast charge apnake ke bollo?
"কয়েক বছর ধরে ইউজ করি,,, আমার দেখা ভালো একটা অ্যাপস,, থ্যাংকস","Koyek bosor dhore use kori,,, amar dekhay valo ekta apps,, thanks"
কত টুকু সেফ এটা?,koto tuku safe ata?
কোথাও পাইনি মোড টা।,Kothao paini mod ta.
কোনদিনই সম্ভব না ভাই,Konodini somvob na vai
কোনো সল্যুশন পেলে জানবো,Kono solution pele janabo
কোনো ফন্ট এই কাজ করে না ব্রো…!,Kono font ei kaj kore nah bro…!
কোন পোস্ট বহুত আগের ??,kon post bohut ager ??
কোন মোড ভালো হবে?,kon mode valo hobe?
কোন লিংক কাজ করে না?,kon link kaj kore na?
কই ফুল ব্ল্যাংক তো হলো না ভাই,Koi full blank to holo na vai
কিউই তে ক্যাপ্সা পূরণ হয় না,Kiwi te capsa poron hoy na
কিসের লিংক দিছেন!!! ওয়াইটি চ্যানেল সাবস্ক্রাইব করার জন্য?,kiser link dichen!!! yt channel subscribe korar jonno?
কাইন্ডলী কাস্টম কোড গুলা চেক করে দেখেন। কোড দিলেই এমএক্স প্লেয়ার হ্যাং হয়ে থাকে & কোনো কাজ ই করে না..,kindly custom code gula check kore dekhen. code dilei mx player hang hoye thake & kono kaj e kore na..
কিনার প্ল্যান আছে ইনশাল্লাহ,Kinar plan ache inshallah
কিছু মুভি টেলিগ্রাম চ্যানেলস নিয়েও পোস্ট চাই ভাই,kichu movie telegram channels niyeo post chai vai
কিছু কিছু টিপিলিংক হ্যাক করা যায়,Kichu kichu tplink hack kora jay
কি সমস্যা হচ্ছে বলেন?,ki somossa hocce bolen?
কি করে ব্রো?,ki kore bro?
কি জানি । আমি ৫+ এমবিপিএস পাই….,ki jani . ami 5+mbps pai….
কি দরকার প্রিমিয়াম টাই ইউজ করেন…এটাই ভালো হবে…,Ki drkr premium tai use kren…atay vlo hbe…
কি ছিল এটা ,Ki cilo ata 
খুব ভালো,khub valo
খুব উপকার হইলো,khub upukar hoilo
খুব ভালো। ,Khub valo.
কেন ভাই? কি প্রব্লেম?,Keno vai? Ki problem?
"কেমনে কি করবো, কিছুই তো বললেননা ! ","Kemne ki korbo, kicui to bollenna !"
কিপ ইট আপ মাই ডিয়ার ফ্রেন্ড,Keep it up my dear friend
কেমতে,Kamte
"কাজ করে না ভাই এসব ফেইক। রুট ছাড়া সোয়াপ ইম্পসিবল। আর বর্তমান যুগের কিছু ফোন এ এই ভার্চুয়াল রেম দিচ্ছে, এটা এমনি তেই রুট ছাড়া সম্ভব না।","Kaj kore na vai esob fake. Root cara swap impossible. Ar bortoman juger kisu phone e ei virual ram disse, eta emni te root cara somvov na."
কাজ করে না,kaj kore na
জাস্ট ওয়াও আজকে জানলাম,JUST WOW AJKE JANLAM 
জোস,JoSS 
জোস ছিল…,Joss clio…
যেমন ফেইসবুক এর টা দিছেন তেমন ইমো প্যাক আছে আমার এখন ইমো এর তা দেন প্লিজ,jmon facebook er ta dichen temon imo pack ache amr akhon imo er ta den plz
"জি ভাই, আপনার পোস্ট ও ভালো হয়েছে।","Ji vai, apnar post o valo hoyeche."
জি ভাই বলেন,Ji vai bolen
জি সব কন্টাক্টস আসবে,Ji shob contacts ashbe
যেকোনো মোড এপিকে এর সাইট এ গেলেই পাবেন,Jekono mod apk er site e gelei paben
যেদিন পোস্ট করেছি সেদিন নেওয়া লাগতো … এখন হটস্পট শেইল্ড প্রিমিয়াম ভিপিএন পোস্ট করেছি দেখো.. ওটা নাও,Jedin post koresi sedin neowa lagto … Akhon Hotspot Sheild Premium VPN post koresi dekho.. ota nao
যার ফোন কন্ট্রোল করবো তার কি ডাটা কানেকশন লাগবে?,jar phone control korbo tar ki data connection lagbe?
জানি না। বাট আমার টায় কাজ করতেছে….. ভার্সন ১১,Jani na. But Amer Tay kaj Korte se….. version 11
জানা থাকলে কি অসুবিধা। নতুন করে আবার জানলেন। ,Jana thakle ki osubida. Notun Kore abar janlen.
"জানা ছিল আগের থেকেই… বাট তাও থ্যাংকস অনেকের উপকার হবে, আবার কেউ মিসইউজ ও করবে","jana cilo ager thekei.. but taw thanks oneker upokar hobe, abar kew missuse o korbe "
আইপিএল লাইভ দেখা যাবে ,IPL live dekha jabe
আইপি সেক মোড ইউজ করলে আপনার সিম এ যা দেয় তার থেকে প্রায় ডাবল স্পিড এ নেট চলবে। ,Ip sec mode use korle apnar sim a ja dey tar theke pray double speed a net cholbe.
আইপি পোর্ট দেন। ফর পিসি,Ip port dan. For pc
ইনভাইট লিংক তা দেন ব্রো। ,invite link ta den bro.
ইনভাইটেশন লিংক নাই ভাই ? ,Invitation link nai vai ?
ইনস্টল করার পর সেটিং থেকে ফন্ট চেঞ্জ করতে গেলে…”থিস ফন্ট ইজ নট সাপোর্টেড” লেখা আসে….স্যামসাং এম১২,Install korar por setting theke font change korte gele…”This font is not supported” lekha ase….Samsung M12
ইন্সটল হয়না,Install Hoyna
ইনশাল্লাহ পেয়ে যাবেন,inshallah peye jaben
ইনশাল্লাহ ভাই পেয়ে যাবেন,Insallah vai peye jaben
ইনফরমেটিভ পোস্ট,Informative post
"ইনফিনিক্স জিরো ৫ প্রো, প্লিজ ভাই রিভিউ করুন। ","Infinix Zero 5 Pro, Plz Vai Review Korun."
ইনফিনিক্স হট ১১এস আলহামদুলিল্লাহ,Infinix hot 11s Alhamdulillah
ইনফিনিক্স হট ১০ প্লে ভিএস সিম্ফনি জি৪৫ এই দুইটা এক সাথেই রিভিউ দেন,infinix hot 10 play VS symphony z45 ei duita ek shatei review dan
ইমো জানি না বাট ইউটিউব প্যাক দিয়ে চেষ্টা করে দেখেন হবে,Imo Jani na but YouTube pack diye chesta Kore dekhen hobe
ইমো এপ্স এর অ্যাড অফ হবে?,imo aps er add off hbe?
ইল্লিগেল কি আছে এইখানে,Illegal ki ase eikhabe 
এইচটিএমএল সিএসএস পারলে ব্লগার এ ও তৈরী করতে পারবেন,Html css parle blogger a oh toiri korthe parben
হয়তো আপনি ভার্চুয়াল রেম চিনেননা,Hoyto apni virtual ram chinenina
